idiom,label,source,meaning
از آب گل آلود ماهی گرفتن,Negative,paarsadab_proverb,از موقعیت خراب و آشفته سوء استفاده کردن.
از خر شیطون پایین آمدن,Positive,paarsadab_proverb,کوتاه آمدن، دست از یکدندگی و لجاجت برداشتن و به اصطلاح شیطان را از خود دور کردن.
از لاعلاجی به خر میگه خانوم باجی,Negative,paarsadab_proverb,وقتی که به ناچار چیز یا کس دیگری را به جای اصل آن چیز قبول کنند میگویند.
این لقمه برای دهنت بزرگه,Negative,paarsadab_proverb,در جواب کسی میگویند که درخواست بزرگی بیشتر از حد لیاقتش بکند، مثل درخواست شغل یا خواستگاری از دختری که  بالاتر از خودش باشد.
آب سرچشمه گل آلود است,Negative,paarsadab_proverb,کار از بیخ عیب دارد، مشکل از اصل و اول کار است.
آدم زنده زندگی میخواد,Negative,paarsadab_proverb,خطاب به کسی که به قید درویشی از مسئولیتهای زندگی شانه خالی کرده و به مادیات و تامین رفاه نسبی بی اعتنا باشد.
آش و لاش,Negative,paarsadab_proverb,سخت زخمی و مجروح شدن و به صورت الشه در آمدن. به سختی مجروح شدن، له شدن.
آهن سرد کوبیدن,Negative,paarsadab_proverb,کار بی حاصل و بیهوده کردن.
بره کاله بیاره، سر را با کاله میآورد,Negative,paarsadab_proverb,کنایه از آتشی بودن و تندروی و شرارت شخص. رفتار افراطی و نامناسب در برخورد با موضوع یا شخصی.
بُزخر,Negative,paarsadab_proverb,کسی که جنسی را به زیر قیمت واقعی آن بخرد.
بال نسبت,Negative,paarsadab_proverb,عبارتی که در پوزش خواهی از به زبان آوردن مطالب زشت و رکیک می گویند.
بوی حلواش میاد,Negative,paarsadab_proverb,کسی که پایان عمرش نزدیک بوده و آثار مرگ در او پدیدار شده باشد.
به حساب (یا خدمت) کسی رسیدن,Negative,paarsadab_proverb,کسی را تنبیه کردن و کیفر دادن.
به صحرای کربلا زدن,Negative,paarsadab_proverb,به طور ناگهانی موضوع سخن را به جای دیگر کشاندن.
به صحرای کربلا زدن,Negative,abadis_proverb,"{""اصطلاحات و ضرب المثل ها"": ""معنی ضرب المثل -> به صحرای کربلا زدن\nبه طور ناگهانی موضوع سخن را به جای دیگر کشاندن."", ""پیشنهاد کاربران"": ""به نظرم یعنی از طاقچه پریدن به باغچه هم میده\nبه نظر من معنی این عبارت حرف را عوض کردن و خودتو به جای دیگه زدن میشه\n+ عکس و لینک""}"
