proverb,normalized,source,tokens
آش دهان سوزی نیست,اش دهان سوخت#سوز نیست,dyanati_proverb,"['اش', 'دهان', 'سوخت', '[UNK]', 'سوز', 'نیست']"
اتیش بیار معرکه,ات بیار معرکه,dyanati_proverb,"['ات', 'بیار', 'معرکه']"
آتیش زده به مالش,ات زده به مالش,dyanati_proverb,"['ات', 'زده', 'به', 'مالش']"
آب برو، نان برو تو هم به دنبالش برو,اب برو نان برو تو هم به دنبال برو,dyanati_proverb,"['اب', 'برو', 'نان', 'برو', 'تو', 'هم', 'به', 'دنبال', 'برو']"
آب از دریا بخشیدن,اب از دریا بخشیدن,dyanati_proverb,"['اب', 'از', 'دریا', 'بخشیدن']"
آفتاب عمرش لب بومه,افتاب عمرش لب بومه,dyanati_proverb,"['افتاب', 'عمرش', 'لب', 'بوم', '##ه']"
آسمون همه جاش یه رنگه,اسمون همه جاش یه رنگه,dyanati_proverb,"['اسمون', 'همه', 'جاش', 'یه', 'رنگ', '##ه']"
آب ازآهن جدا کردن,اب ازاهن جدا کردن,dyanati_proverb,"['اب', 'ازا', '##هن', 'جدا', 'کردن']"
آنروز که آواز بود فکر زمستانت هم بود,انروز که اواز بود#است فکر زمستان هم بود#است,dyanati_proverb,"['انروز', 'که', 'اواز', 'بود', '[UNK]', 'است', 'فکر', 'زمستان', 'هم', 'بود', '[UNK]', 'است']"
آب دریا به دهن سگ نجس نمی شود,اب دریا به دهن سگ نجس شد#شو,dyanati_proverb,"['اب', 'دریا', 'به', 'دهن', 'سگ', 'نجس', 'شد', '[UNK]', 'شو']"
اسب تازی گر ضعیف بود همچنان از طویله ی خر,اسب تازی‌گر ضعیف بود#است همچنان از طویله خر,dyanati_proverb,"['اسب', 'تازی', '##گر', 'ضعیف', 'بود', '[UNK]', 'است', 'همچنان', 'از', 'طویله', 'خر']"
کلو اشربوا و لا تسرفوا,کلو اشربوا و لا تسرفوا,dyanati_proverb,"['کلو', 'اشر', '##بوا', 'و', 'لا', 'تس', '##رف', '##وا']"
ای که پنجاه رفت و در خوابی مگر این پنج روز را دریابی,ای که پنجاه رفت#رو و در خفت#خواب مگر این پنج روز را دریاب,dyanati_proverb,"['ای', 'که', 'پنجاه', 'رفت', '[UNK]', 'رو', 'و', 'در', 'خفت', '[UNK]', 'خواب', 'مگر', 'این', 'پنج', 'روز', 'را', 'دریاب']"
آسمان و ریسمان را سر هم بافتن,اسمان و ریسمان را سر هم بافتن,dyanati_proverb,"['اسمان', 'و', 'ریسمان', 'را', 'سر', 'هم', 'بافتن']"
آب از سر گذشتن,اب از سر گذشتن,dyanati_proverb,"['اب', 'از', 'سر', 'گذشتن']"
آدم گرسنه سنگ را هم می خورد,ادم گرسنه سنگ را هم خورد#خور,dyanati_proverb,"['ادم', 'گرسنه', 'سنگ', 'را', 'هم', 'خورد', '[UNK]', 'خور']"
آسمان به زمین نمی آید,اسمان به زمین نمی‌اید,dyanati_proverb,"['اسمان', 'به', 'زمین', 'نمیاید']"
بادمجان بم آفت نداره,بادمجان بم افت نداره,dyanati_proverb,"['بادمجان', 'بم', 'افت', 'نداره']"
بزک نمیر بهار میاد، خربزه با خیار میاد,بزک نمیر بهار میاد خربزه با خیار میاد,dyanati_proverb,"['بزک', 'نمیر', 'بهار', 'میاد', 'خربزه', 'با', 'خیار', 'میاد']"
برای الی جزر دیوار خوبه,برای الی جزر دیوار خوبه,dyanati_proverb,"['برای', 'الی', 'جزر', 'دیوار', 'خوبه']"
به دعای گربه ی سیاه، بارون نمی باره,به دعای گربه سیاه بارون نمی‌باره,dyanati_proverb,"['به', 'دعای', 'گربه', 'سیاه', 'بارون', 'نمیب', '##اره']"
با یه من عسل هم نمی شود خوردش,با یه من عسل هم شد#شو خوردش,dyanati_proverb,"['با', 'یه', 'من', 'عسل', 'هم', 'شد', '[UNK]', 'شو', 'خورد', '##ش']"
به در گفت دیوار بشنوه,به در گفت#گو دیوار بشنوه,dyanati_proverb,"['به', 'در', 'گفت', '[UNK]', 'گو', 'دیوار', 'بشنو', '##ه']"
با یک تیر و دو نشون زدن,با یک تیر و دو نشون زدن,dyanati_proverb,"['با', 'یک', 'تیر', 'و', 'دو', 'نشون', 'زدن']"
بزرگی به عقل است نه به سال,بزرگی به عقل است نه به سال,dyanati_proverb,"['بزرگی', 'به', 'عقل', 'است', 'نه', 'به', 'سال']"
با هر دست که دادی پس می گیری,با هر دست که داد#ده پس گرفت#گیر,dyanati_proverb,"['با', 'هر', 'دست', 'که', 'داد', '[UNK]', 'ده', 'پس', 'گرفت', '[UNK]', 'گیر']"
به نطق آدمی بهتر است از دواب، دواب از تو به گر نگویی صواب,به نطق ادمی بهتر است از دواب دواب از تو به‌گر گفت#گوی صواب,dyanati_proverb,"['به', 'نطق', 'ادمی', 'بهتر', 'است', 'از', 'دواب', 'دواب', 'از', 'تو', 'به', '##گر', 'گفت', '[UNK]', 'گوی', 'صواب']"
با پولها کباب بی پولها دود کباب,با پولها کباب بی پولها دود کباب,dyanati_proverb,"['با', 'پولها', 'کباب', 'بی', 'پولها', 'دود', 'کباب']"
با ماه نشینی، ماه شوی، با دیگ نشینی سیاه شوی,با ماه نشست#نشین ماه شد#شو با دیگ نشست#نشین سیاه شد#شو,dyanati_proverb,"['با', 'ماه', 'نشست', '[UNK]', 'نشین', 'ماه', 'شد', '[UNK]', 'شو', 'با', 'دیگ', 'نشست', '[UNK]', 'نشین', 'سیاه', 'شد', '[UNK]', 'شو']"
بالاخانه اش را اجاره داده است,بالاخانه را اجاره داد#ده,dyanati_proverb,"['بالا', '##خانه', 'را', 'اجاره', 'داد', '[UNK]', 'ده']"
به تنبل گفتند برو سایه گفت سایه خودش می آید,به تنبل گفت#گو برو سایه گفت#گو سایه خودش می‌اید,dyanati_proverb,"['به', 'تنبل', 'گفت', '[UNK]', 'گو', 'برو', 'سایه', 'گفت', '[UNK]', 'گو', 'سایه', 'خودش', 'میاید']"
به دریا برود دریا خشک می شود,به دریا رفت#رو دریا خشک شد#شو,dyanati_proverb,"['به', 'دریا', 'رفت', '[UNK]', 'رو', 'دریا', 'خشک', 'شد', '[UNK]', 'شو']"
پرسیدن عیب نیست، ندانستن عیب است,پرسیدن عیب نیست ندانستن عیب است,dyanati_proverb,"['پرسیدن', 'عیب', 'نیست', 'ندانستن', 'عیب', 'است']"
پا به دریا بگذاره دریا خشک می شود,پا به دریا بگذاره دریا خشک شد#شو,dyanati_proverb,"['پا', 'به', 'دریا', 'بگذار', '##ه', 'دریا', 'خشک', 'شد', '[UNK]', 'شو']"
پنجه با شیر انداختن و مشت با شمشیر زدن کار خردمندان نیست,پنجه با شیر انداختن و مشت با شمشیر زدن کار خردمندان نیست,dyanati_proverb,"['پنجه', 'با', 'شیر', 'انداختن', 'و', 'مشت', 'با', 'شمشیر', 'زدن', 'کار', 'خردمندان', 'نیست']"
پول که زیاد شد خانه تنگ می شود و زن زشت,پول که زیاد شد#شو خانه تنگ شد#شو و زن زشت,dyanati_proverb,"['پول', 'که', 'زیاد', 'شد', '[UNK]', 'شو', 'خانه', 'تنگ', 'شد', '[UNK]', 'شو', 'و', 'زن', 'زشت']"
پشم در کلاه نداشتن,پشم در کلاه نداشتن,dyanati_proverb,"['پشم', 'در', 'کلاه', 'نداشتن']"
پرتو نیکان نگیرد هر که بنیادش بد است,پرتو نیکان گرفت#گیر هر که بنیاد بد است,dyanati_proverb,"['پرتو', 'نیکان', 'گرفت', '[UNK]', 'گیر', 'هر', 'که', 'بنیاد', 'بد', 'است']"
پولش از پارو بالا میره,پول از پارو بالا میره,dyanati_proverb,"['پول', 'از', 'پارو', 'بالا', 'میره']"
پرده هفت رنگ مگذار تو که در خانه بوریا داری,پرده هفت رنگ مگذار تو که در خانه بوریا داشت#دار,dyanati_proverb,"['پرده', 'هفت', 'رنگ', 'مگذار', 'تو', 'که', 'در', 'خانه', 'بوری', '##ا', 'داشت', '[UNK]', 'دار']"
پیاده شو باهم راه بریم,پیاده شو باهم راه برد#بر,dyanati_proverb,"['پیاده', 'شو', 'باهم', 'راه', 'برد', '[UNK]', 'بر']"
پا از گلیم بیرون بردن,پا از گلیم بیرون بردن,dyanati_proverb,"['پا', 'از', 'گلیم', 'بیرون', 'بردن']"
پدرکشی داشتن با کسی,پدرکش داشتن با کسی,dyanati_proverb,"['پدر', '##کش', 'داشتن', 'با', 'کسی']"
پشت کسی را به خاک مالیدن,پشت کسی را به خاک مالیدن,dyanati_proverb,"['پشت', 'کسی', 'را', 'به', 'خاک', 'مالیدن']"
تا تریاق از عراق آرند مار گزیده مرده باشد,تا تریاق از عراق ارند مار گزیده مرد#میر,dyanati_proverb,"['تا', 'تریا', '##ق', 'از', 'عراق', 'ارند', 'مار', 'گزیده', 'مرد', '[UNK]', 'میر']"
تر وخشک را باهم سوختن,تر وخشک را باهم سوختن,dyanati_proverb,"['تر', 'وخش', '##ک', 'را', 'باهم', 'سوختن']"
تا تنور گرم است نان را بچسبان,تا تنور گرم است نان را بچسب,dyanati_proverb,"['تا', 'تنور', 'گرم', 'است', 'نان', 'را', 'بچسب']"
ته جیبش تار عنکبوت بسته است,ته جیبش تار عنکبوت بست#بند,dyanati_proverb,"['ته', 'جیبش', 'تار', 'عنکبوت', 'بست', '[UNK]', 'بند']"
تیرش به سنگ میخوره,تیر به سنگ میخوره,dyanati_proverb,"['تیر', 'به', 'سنگ', 'میخوره']"
تیر توی تاریکی انداختن,تیر توی تاریکی انداختن,dyanati_proverb,"['تیر', 'توی', 'تاریکی', 'انداختن']"
توی هول وال ماندن,توی هول وال ماندن,dyanati_proverb,"['توی', 'هول', 'وال', 'ماندن']"
توی هفت آسمون یک ستاره نداشتن,توی هفت اسمون یک ستاره نداشتن,dyanati_proverb,"['توی', 'هفت', 'اسمون', 'یک', 'ستاره', 'نداشتن']"
توی هچل افتادن,توی هچل افتادن,dyanati_proverb,"['توی', 'هچ', '##ل', 'افتادن']"
تافته جدا بافته بودن,تافته جدا بافته بودن,dyanati_proverb,"['تافته', 'جدا', 'بافته', 'بودن']"
تو را خواهند پرسید که عملت چیست نگویند پدرت کیست,تو را پرسید#پرس که عمل چیست گفت#گوی پدر کیست,dyanati_proverb,"['تو', 'را', 'پرسید', '[UNK]', 'پرس', 'که', 'عمل', 'چیست', 'گفت', '[UNK]', 'گوی', 'پدر', 'کیست']"
تو به خیر و من به سلامت,تو به خیر و من به سلامت,dyanati_proverb,"['تو', 'به', 'خیر', 'و', 'من', 'به', 'سلامت']"
توانگری به قناعت به از توانگری به بضاعت,توانگری به قناعت به از توانگری به بضاعت,dyanati_proverb,"['توانگری', 'به', 'قناعت', 'به', 'از', 'توانگری', 'به', 'بضاعت']"
جوجه را آخر پائیز میشمرند,جوجه را اخر پائیز شمارد#شمر,dyanati_proverb,"['جوجه', 'را', 'اخر', 'پايیز', 'شمارد', '[UNK]', 'شمر']"
