idiom,masked_text,candidates
آب آوردن,"می‌گوید: آن سال‌ها که تو هنوز پا به دنیای هستی نگذاشته بودی و من سال‌های جوانی خود را طی می‌کردم، آمدن زمستان بشارتی از رنج و سختی برای انسان بود، رنجی اما آمیخته با لذتی فراموش نشدنی؛ اکنون که حافظه‌ام رو به زوال گذاشته و چند دقیقه قبل را هم به زور به خاطر میاورم؛ اما آن روزها را خوبِ خوب یادم هست
به گفته دایه کبری زمستان‌های کهن، زمستان سختی بود، از همان شب اول زمستان بارش برف سنگین شروع می‌شد و تا دم دمای عید ادامه داشت، برفی که به گفته خودش به بیش از یک متر و نیم هم می‌رسید و آنقدر برف سهمگینی بود که برای عبور و مرور از زیر برف تونل می‌زدند
می‌گوید: سه ماهه زمستان را در تکاپو بودیم، برف که می‌آمد صبحگاهان و حتی گاهی اوقات شب‌ها از خواب می‌زدیم تا شرایط برفی را رفع و رجوع کنیم
ادامه می‌دهد: زمانی که برف می‌آمد، مردها پشت‌بام‌ها را برف روبی می‌کردند، زن‌ها حیاط را، <<MASKED_IDIOM>> از چشمه و رفع و رجوع کردن کارها در آن دوران بسیار سخت‌تر از شرایط الان بود
او می‌گوید: خوراک و غذاهای گرم محلی مهمان روزهای برفی آن روزگار بود؛ غذاهایی که این روزها به کلی فراموش شده‌اند
می‌گوید: از پس آن همه روزهای سخت برفی، چیزی که دل ما را به وجود زمستان گرم می‌کرد؛ شب نشینی‌ها بود
دایه کبری از آن روزگاران حرف می‌زند و می‌گوید وقتی برف باعث خانه‌نشین‌ شدنمان می‌شد؛ برعکس مردم این دور و زمانه؛ با همسایه‌ها شب نشینی‌های باشکوهی برپا می‌کردیم و با آمدن برف قند در دل‌هایمان آب می‌شد که می‌شود بار دیگر دور هم جمع شد","['از چاله به چاه افتادن', 'درجا زدن', 'زمین گیر', 'پا در هوا', 'زیر و بالا', 'تحفه نطنز', 'دندان گرد', 'اسکل', 'بچاپ بچاپ', 'دست بوس']"
آب آوردن,"درحالي كه از جمعيت ( ) 60 ميليوني فعلي ما حدود ( /) 1 ميليون نفر يا حدود (/درصد ) 2 را جمعيت عشايري تشكيل مي دهد
اين جمعيت در تمام كشور به استثناي سه استان كردستان، بوشهر و يزد مستقرند و بيشترين وسعت مراتع طبيعي مملكت زير سم دامهايشان قرار دارند و اين درحالي است كه به دليل ضعف اقتصادي و نارسائيهاي مادي ناچار به افزايش تعداد دام، چراي زودرس و استفاده بي رويه از مراتع هستند كه منجربه سير قهقرائي مراتع و فقر مضاعف دامدار و مرتع مي گردد
- 3 مي توان خانواده عشاير را به يك كارگاه توليدي و واحد اقتصادي شبانه روزي تشبيه كرد
اين واحد چنان غرق علوفه يافتن، <<MASKED_IDIOM>>، شير دوشيدن و
است كه قادر به ديدن دنياي پيرامون خود نيست و اين وضعيت ناشي از شيوه معيشت سنتي عشايري و ناتواني كاركردهاي اقتصاد سنتي و پائين بودن درامد خانوار عشايري است
شرايطبالا باعث مي شود كه انسان عشايري نتواند خود را با پيشرفتهاي جامعه منطبق كند و اين ايستائي باعث پديد آمدن شكاف عميقي بين او و جامعه يكجانشين شهري و روستايي مي شود كه مشكلات سياسي - اقتصادي و فرهنگي زيادي را براي مملكت پديد مي آورد
- 4 چهارمين مطلب اينكه: صراحتابايد بگويم در اين نوشته كوتاه نمي توان ماهيت و هستي ملتي را ناديده گرفت وآنها را رد كرد","['دست تنگ', 'قوز بالا قوز', 'دامن زدن', 'رخت بربستن', 'چاه ویل', 'بسم الله', 'بی شعور', 'ریش سفید', 'عزا گرفتن', 'داف بازی']"
آب آوردن,"به گزارش خبرنگار بهداشت و درمان  ؛ استرس، تغذیه ناسالم، فست‌فودها، استفاده از چربی‌های اشباع‌شده، کم‌تحرکی و مصرف نابجای داروهای شیمیایی از جمله دلایل بروز ""کبد چرب"" است
طبق تحقیقات به‌عمل‌آمده، بزرگترین خطر ابتلا به کبد چرب، عوارض قلبی و عروقی است که هر گرید کبد چرب، 10 سال از طول عمر انسان می‌کاهد و بیماریهای قلبی را جلو می‌اندازد؛ انسدادها، بی‌اشتهایی، لاغری، بزرگ شدن شکم، به‌هم ریختن اندکسهای خون، ریزش مو و <<MASKED_IDIOM>> شکم از علائم گرید4 کبد چرب است که باید در این مرحله پیوند کبد انجام شود
استفاده بقاعده و کم از روغنهای زیتون و حیوانی، پرهیز از غذاهای کارخانه‌ای با مواد نگهدارنده، خودداری از مصرف آب یخ و سرد به‌ویژه در حالت ناشتا، بین غذا و هنگام ورزش و نیز خوردن غذا با آرامش و خوب جویدن، ابتلا به کبد چرب را کاهش می‌دهند همچنین استفاده از چاشنی رب‌های انار، سیب، به، آلو و ازگیل کنار غذاها توصیه می‌شود و کسانی که نمی‌توانند بین غذا یا ورزش آب ننوشند، بهتر است از آب گرم یا ترکیب آب گرم و گلاب به‌صورت جرعه جرعه استفاده کنند
همچنین برای تقویت و بهبود عملکرد کبد، گیاه ""ماریتیغال"" یا خارمریم در بازسازی و جوانسازی کبد، دمنوش ریشه باباآدم مقوی فوق‌العاده کبد و قلب و مغز، گیاه اکیناسه که شربت و قرص آن هم در بازار موجود است برای تقویت سیستم ایمنی بدن، زنجبیل با استفاده از مصلحات آن در گرم‌مزاجان و نیز مصرف ناشتای ترکیب دارچین و عسل، زردچوبه و عسل، عسل و لیمو که مناسب همه طبع‌ها است برای پاکسازی و دفع عفونتها و بازکننده مجاری کبد از گیاهان مفید به‌شمار می‌روند
سیر با طبع گرم و خشک بالا برای گرم‌مزاجان و کبد گرم خوب نیست اما سیرترشی قهوه‌ای و شیرین معجون و اکسیری با خاصیت درمانی به‌ویژه پاکسازی جدار کبد و قلب و عروق است که برای همه طبع‌ها توصیه می‌شود البته سیر سیاه که اخیراً به بازار آمده است، خواص سیر ترشی را ندارد؛ چای سبز هم برای مزاج سرد و تر با بلغم و رطوبت بالا مفید است و مصرف آن همانند قهوه، بیشتر از هفته‌ای 2 تا 3 بار موجب خشکی کبد می‌شود؛ چای سفید هم به‌علت مرغوبیت و خاصیت خونسازی و تقویت معده از چای سبز برتر است که در چین و کشورهای پیشرفته بیشتر مورد توجه است","['آب برداشتن', 'جوش خوردن', 'آتش گرفتن', 'باد دست', 'بال بال زدن', 'به چاه افتادن', 'ای داد بیداد', 'موش و گربه بازی', 'دود چراغ خوردن', 'به خاک سیاه نشاندن']"
آب آوردن,"به گزارش خبرنگار بهداشت و درمان  ؛ دکتر محمد عزیزخانی در برنامه انارستان اظهار کرد: استرس، تغذیه ناسالم، فست‌فودها، استفاده از چربی‌های اشباع‌شده، کم‌تحرکی و مصرف نابجای داروهای شیمیایی از جمله دلایل بروز ""کبد چرب"" است
وی ادامه داد: طبق تحقیقات به‌عمل‌آمده، بزرگترین خطر ابتلا به کبد چرب، عوارض قلبی و عروقی هست که   انسدادها، بی‌اشتهایی، لاغری، بزرگ شدن شکم، به‌هم ریختن اندکسهای خون، ریزش مو و <<MASKED_IDIOM>> شکم از علائم   است که باید در این مرحله پیوند کبد انجام شود
این متخصص طب سنتی با تشریح برخی راهکارهای پیشگیری و درمان کبد چرب گفت: استفاده بقاعده و کم از روغنهای زیتون و حیوانی، پرهیز از غذاهای کارخانه‌ای با مواد نگهدارنده، خودداری از مصرف آب یخ و سرد به‌ویژه در حالت ناشتا، بین غذا و هنگام ورزش و نیز خوردن غذا با آرامش و خوب جویدن، ابتلا به کبد چرب را کاهش می‌دهند همچنین استفاده از چاشنی رب‌های انار، سیب، به، آلو و ازگیل کنار غذاها توصیه می‌شود و کسانی که نمی‌توانند بین غذا یا ورزش آب ننوشد، بهتر است از آب گرم یا ترکیب آب گرم و گلاب به‌صورت جرعه جرعه استفاده کنند
دکتر عزیزخانی برای تقویت و بهبود عملکرد کبد متذکر شد:  وی مصرف هر چیز را طبق طبع مزاج مفید دانست و گفت: سیر با طبع گرم و خشک بالا برای گرم‌مزاجان و کبد گرم خوب نیست اما سیرترشی قهوه‌ای و شیرین معجون و اکسیری با خاصیت درمانی به‌ویژه پاکسازی جدار کبد و قلب و عروق است که برای همه طبع‌ها توصیه می‌شود البته سیرسیاه که اخیراً به بازار آمده است، خواص سیر ترشی را ندارد؛ چای سبز هم برای مزاج سرد و تر با بلغم و رطوبت بالا مفید است و مصرف آن همانند قهوه، بیشتر از هفته‌ای 2 تا 3 بار موجب خشکی کبد می‌شود؛ چای سفید هم به‌علت مرغوبیت و خاصیت خونسازی و تقویت معده از چای سبز برتر است که در چین و کشورهای پیشرفته بیشتر مورد توجه است
مؤسس و مدیرعامل جامعه احیاگران طب سنتی ایران میوه‌های پاییزی را برای تقویت کبد و سیستم ایمنی بدن مفید خواند و افزود: در پاییز، بیماریها به‌دلیل غلیظ‌تر شدن خون و تجمع سودا بیشتر می‌شود و چغندر از میوه‌هایی هست که فلز سنگین و رسوبات بدن را جذب و دفع می‌کند؛  دکتر عزیزخانی توصیه کرد: مصرف انواع سبزیجات به‌ویژه کاهو، هویج، کلم، توت قرمز و شاه‌توت، سیب ناشتا، کنگر فرنگی یا آرتیشو، سبزی جعفری، عناب دمکرده یا خشک یا رب عناب، سرکه‌شیره، انواع سکنجبین، ترکیبی از آب شلغم و هویج و چغندر و کرفس ناشتا در 21 روز کاهنده سریع چربی خون و کلسترول هم هست، دمنوش ناشتای گیاه کاسنی و شاهتره در 21 روز، خارخاسک و خارشتر، درمنه‌، ماءالجبن و ماءالشعیر طبیعی، زعفران، انجیر، فندق، توت سفید، گلاب، مویز و زیتون همه از مقویات کبد و درمان کبد چرب است همچنین  این متخصص طب ایرانی، مصرف عسل یا شیره انگور رقیق‌شده یا سیب را قبل از خواب مفید دانست و گفت: برای پیشگیری از کبد چرب باید مراقب غذایمان باشیم که هر اقلیم و آب‌وهوایی، غذای خاص خود را دارد و ژنتیک و مسایل موجود در کشور هم در سلامتی افراد مؤثر است مثلاً در اروپا و آمریکا راحت‌تر قهوه و شکلات مصرف می‌شود اما وی درباره مصرف داروهای شیمیایی تأکید کرد: برخی داروها مثل داروی قلب یا فشارخون  و داروهای خاص اعصاب نباید بی‌حساب و کتاب قطع شوند اما با کوچکترین بهانه سراغ مصرف مسکن و آنتی‌بیوتیک هم نروید و به‌جای استفاده از داروهای شیمیایی از درمانهای طبیعی، مسکنهای گیاهی، ماساژ، مشت‌ومال، بادکش و دیگر موارد که عوارض خیلی کمتری دارند، بهره گیرید؛ ایجاد آرامش هم در روح و روان و سلامتی افراد نقش مؤثری در حفظ اعضای رئیسه بدن به‌ویژه کبد دارد","['حرص خوردن', 'خون گرم', 'تیر کشیدن', 'باد سرد', 'دست تنگ', 'تن زدن', 'پز دادن', 'شانه خالی کردن', 'از سکه افتادن', 'بازی دادن']"
آب آوردن,"آمریکا پیش از آن یک ایده بود، یک تکه زمین
ما تمایل داریم تاریخ را همچون نوعی سابقه در نظر آوریم، اما تاریخ درواقع یک روایت است
وقتی لپور مینویسد سفر کلمب «قارهها را به یکدیگر گره زد»، میتواند نشان دهد چگونه، و حتی در کجا، میباید بهدنبال سوابق باقیمانده بود
طی سدۀ پس از بهخشکیرسیدنِ کلمب، اروپاییها ۲۰۰ تن طلا و ۱۶۰۰۰ تُن نقره، صرفنظر از میزان قاچاقشده، از معادن غرب بارِ کشتیهایشان کردند و به این سوی <<MASKED_IDIOM>>د
همانطور که ثروت به شرق جاری میشد، گیاهان و جانوران به غرب برده میشدند
جمعیتِ گلههایی که اروپاییان آورده بودند، در غیاب شکارچیان طبیعی، هر پانزده ماه دو برابر میشد و هشت خوکی که کلمب در سفر دومش -به همراهِ مرغ و خروس و گوسفند و بز و اسب و مشتی دانه- آورده بود، طی اندک سالی، تبدیل به هزاران شدند
ناتوانی و اکراه اروپاییان در فهمیدن زبانهای بومی، قصهها و شیوۀ زندگی آنان، زمینۀ رشد سوءتفاهمی عمیق را مهیا کرد، یعنی پندارۀ افرادی که در «وضع طبیعی» زندگی میکنند","['رخت بربستن', 'دل ریختن', 'کمر بستن', 'پوست انداختن', 'گرم شدن', 'پایان شب سیه سپید است', 'بچاپ بچاپ', 'شریک دزد و رفیق قافله', 'دبه کردن', 'جیب بر']"
آب برداشتن,"بله، شاعر شدن آسان‌تر از عالم شدن است
امروز به برکت فضای مجازی و اینترنت و لایوهای اینستاگرامی و
در عرصه شعر وشاعری می‌توان راه 100 ساله را یک شبه طی کرد و برای خود نام و آوازه‌ای به هم زد، ولی لازمه عالم شدن، ریاضت کشیدن و خون دل خوردن است
به همین خاطر، بسیاری از شاعران ترجیح می‌دهند به جای <<MASKED_IDIOM>> از سرچشمه‌های زلال قرآنی و وحیانی، تشنگی خود را با آب ناخالص جویبارهای تهی دستی که سر راهشان قرار می‌گیرد، برطرف کنند
به همین خاطر، بسیاری از شعرهای آیینی روز و روزگار ما، علی‌رغم ظاهر فربه و فریبنده خود، باطنی نحیف دارند
از پیشانی نوشت بسیاری از شعرهایی که با عنوان شعر آیینی در قاب و قالب کتاب چاپ و منتشر می‌شوند، به راحتی می‌توان خواند که شاعران این شعرها «شعر آیینی» را امری ذوقی، سلیقه‌ای، تفننی، سرسری و «باری به هر جهت» گرفته‌اند که پیش و بیش از آن که به درد «خودسازی» و «جامعه‌سازی» بخورد، به درد رفع ملالت و کسالت و پر کردن اوقات فراغت می‌خورد
حال آن که مسندی که شاعر آیینی بر آن تکیه می‌زند، مسند «رسالت» و «هدایت» است، نه مسند «غفلت» و «رخوت»","['گندم نما', 'ماست مالی کردن', 'چیزی در چنته نداشتن', 'سبک خیز', 'کاچی به از هیچی', 'یک کلاغ چهل کلاغ', 'وعده سر خرمن', 'چشم زخم', 'بال بال زدن', 'پنجه زدن']"
آتش بیار معرکه,"نایب رییس مجلس شورای اسلامی با بیان اینکه ارز ترجیحی ثروت کلانی را برای برخی افراد ایجاد کرده بود و امکان روند پرداخت آن مانند سال‌های قبل امکان پذیر نبود گفت: به همین علت دولت سیزدهم نسبت به اصلاح مردمی سازی یارانه‌ها اهتمام کرد
به گزارش ایرنا؛ علی نیکزاد عصر پنجشنبه در نشست جمع بندی سفر خود به استان یزد که در محل استانداری برگزار شد  با بیان اینکه دولت سیزدهم مصمم به حذف ارز ترجیحی بود اظهار کرد: در ابتدای دوره فعالیت مجلس یازدهم باور نمی کردیم که ارز ۴۲۰۰ تومانی برای واردات دسته بیل، موز، غذای حیوانات و دیگر کالاهای غیرضروری استفاده شود اما متاسفانه ما این ارز را در اختیار دلالان قرار داده و  آنها هم کالاهای ضروری را وارد نمی کردند
وی اظهار کرد: قرار بود با ارز ۴۲۰۰ تومانی مردم ایران مواد غذایی و کالاهای ضروری  وارد شود متاسفانه اینطور نشد و از آن سو استفاده شد
نیکزاد خاطرنشان کرد: باید مراقب باشیم در این زمان افرادی که از همین ارز ۴۲۰۰ تومانی غنی شدند و به ثروت های عظیم دست یافتند <<MASKED_IDIOM>> نباشند
نائب رییس اول مجلس شورای اسلامی گفت: ما مخالف بورس نیستیم ولی عدالت هم باید در نظر گرفته شود، چرا میلگردی که ۹ هزار تومان تمام می شود باید در بازار ۱۹ هزار تومان به مردم عرضه شود
وی افزود: به هیچ عنوان نباید معیشت مردم با فشار بیشتر روبرو شود کنترل بازار یکی از مهمترین مواردی است که دولت باید به آن توجه کند
نیکزاد خاطرنشان کرد: این طرح قطعا باید اجرا می‌شد ولی علاوه بر کنترل بازار، باید معیشت مردم و تورم را هم در نظر داشته باشیم و صرفا پرداخت پول به مردم کفایت نمی‌کند","['جیره خوار', 'نان به نرخ روز خوردن', 'دو دوزه بازی کردن', 'شیر تو شیر', 'هر کی هر کی', 'ابن الوقت', 'بی نمک', 'گربه گون', 'پیمانه کش', 'طاقچه بالا گذاشتن']"
آتش بیار معرکه,"مدیرعامل باشگاه استقلال خاطرنشان کرد: ما ۱۱ بازی در لیگ برتر و بازی‌هایی در جام حذفی داریم که روی هر دو جام حساب کرده‌ایم
آجورلو تصریح کرد: در این ۴۰ سال که در ورزش هستم سه ماه است که سخت‌ترین شرایط را پشت سر گذاشته‌ام، خیلی‌ها دوست ندارند استقلال قهرمان شود، هر کسی که بخواهد چوب لای چرخ استقلال بگذارد مقابلش می‌ایستم
صبح وریا غفوری را به دفترم دعوت کردم و خبرنگاری گفت خیلی پرسش دارم اما جواب دادم مهم‌ترین مساله برای ما قهرمانی است
وی خاطرنشان کرد: هر روز برای ما مانع درست می‌کنند، ما باید آرامش داشته باشیم، نباید <<MASKED_IDIOM>> شویم و آرامشان را به هم زنیم
مدیرعامل استقلال اعلام کرد: این تیم استقلال به لطف خدا قهرمان می‌شود، من مثل خیلی‌ها نیستم که در فضای مجازی بگویم قهرمان در فضای مجازی مشخص می‌شود، ما در زمین حرفمان را می‌زنیم و بردها را به دست می‌آوریم
آجورلو اظهار داشت: روز اولی که فرهاد مجیدی که هدایت استقلال را بر عهده گرفت من به او گفتم ۷۵ امتیاز می‌خواهم و حتم دارم می‌تواند این تعداد امتیازات را به دست آورد
وی درباره ماجرای خدمت سربازی محمد حسین مرادمند و سیاوش یزدانی گفت: آیین‌نامه می‌گوید بازیکن رجیستر شده آن هم در تیم ملی پس چرا نمی‌گذارید این بازیکن در تیم ملی بازی کند","['الم شنگه', 'سرشاخ شدن', 'چشم وهم چشمی', 'کلاف سردرگم', 'قاطی کردن', 'گل از گلش شکفت', 'جیب بر', 'خالی بندی', 'صبر ایوب', 'پر کشیدن']"
آتش بیار معرکه,"مادر سیدمحمد موسوی زاده دانش‌آموز فقید 11 ساله دیری با قدردانی از حمایت‌های مدیر دبستان فرزندش، به اهدای گوشی توسط مدیر مدرسه و عضویت او در شبکه شاد اذعان کرد
به گزارش فارس، عصر روز گذشته نوجوان 11 ساله‌ای در شهرستان دیر استان بوشهر جان خود را از دست می‌دهد
اولین خبری که توسط یک رسانه منتشر می‌شود، خبر از خودکشی این کودک از طریق حلق آویز شدن خود به دلیل نداشتن گوشی برای ورود به شبکه شاد است
در کسری از ثانیه این خبر بازتاب وسیعی در فضای مجازی ملی و بین المللی پیدا می‌کند، به گونه‌ای که شبکه‌های معاند نیز با سوء استفاده هر چه تمام‌تر، <<MASKED_IDIOM>> می‌شوند
روابط عمومی آموزش و پرورش شهرستان دیر در اطلاعیه‌ای، خبر منتشر شده در خصوص دلیل خودکشی دانش آموز دیری مبنی عدم دسترسی به تلفن همراه و کلاس های مجازی را تکذیب کرد
اما برخی از افکار عمومی از توضیحات آموزش و پرورش قانع نشدند
در همین راستا خبرنگار فارس موضوع را مادر و مدیر مدرسه دانش آموز فقید دیری جویا شده است","['خط انداختن', 'موش دواندن', 'داغان کردن', 'هر کی هر کی', 'سرشاخ شدن', 'یک لاقبا', 'عروس هزار داماد', 'لیله القدر', 'پز دادن', 'پاچه خوار']"
آتش بیار معرکه,"زیست رفیقانه ، مؤمنانه و رقابت اخلاقی و الهی را در حوزه سیاست کنار گذاشتندو  بنا را بر ستیز بی‌دلیل با رقبا گذاشتند
اندوه سترون‌بودن،سوءظن و تلاطم درونی و ناکارآمدی در چهار دولت پس از انقلاب که صفر تا صد آن دست آنها بود سرمایه اجتماعی آن‌ها را به باد داد
آنها منادی گسست و تفرقه درجامعه بودند و حاضر نشدند در فرآیند همگرایی حاضر شوند و ایران را بسازند
در دو فتنه 78 و 88 <<MASKED_IDIOM>> نبرد نرم دشمن علیه انقلاب و نظام بودند
هنوز حاضر نیستند از خیمه فتنه فاصله بگیرند
در این بیانیه اشاراتی بر ماندن در این خیمه دارند که اگر فرصت شدو  عمری باقی ماند در مقاله بعد آن را بازخوانی خواهم کرد
انتهای پیام/","['دو به هم زنی', 'چوب لای چرخ گذاشتن', 'دو دوزه بازی کردن', 'پاپوش دوختن', 'گرگ در لباس میش', 'دل به دریا زدن', 'سراپا گوش بودن', 'خواستن توانستن است', 'در باغ سبز نشان دادن', 'هفت خوان']"
